# PRN        X (m)              Y (m)              Z (m)
G 2    -17265176.953    -18885814.614     -7670407.595
G 2     10574060.672    -10976265.050     21988741.366
G 2     21242830.296      8653007.411    -13477909.093
G 2    -18243037.771     17312901.708     -8059846.595
G 2    -10390928.494    -11067278.178     21560820.504
G 2      9437836.375    -19924824.738    -14745954.090
G 2     17179018.535     19244007.341     -6947692.166
G 2    -11234008.194     10561550.806     21862879.278
G 2    -20749843.554     -8880198.735    -14077847.050
G 2     18564332.012    -17244600.479     -7442403.048
G 2     21902778.402    -12456322.070      7783871.299
G 2      9964570.920     11733980.497     21410454.341
G 3     19507635.654    -16316734.011      7920369.818
G 3     10345142.025     11446481.470    -21582884.989
G 3    -10447456.421     19871770.809     13992777.973
G 3    -15985003.537    -19876716.953      7130975.694
G 3     12452125.395     -9616769.856    -21437258.727
G 3     19618812.087     10721168.163     14534610.533
G 3    -19888510.125     16195634.477      7182605.102
G 3     -9938575.410    -12007331.561    -21466939.246
G 3     10629014.654    -19403873.729     14502689.161
G 3     16449704.019     17929193.559     10443747.748
G 3     15826557.774     20291682.643      6269875.113
G 3    -13003063.653      9207473.381    -21291376.775
G 3    -19060960.553    -10926390.919     15113292.387
G 4      9008835.210    -24040142.927      5931422.770
G 4     14446962.129      7669846.826    -20581668.255
G 4     -1133778.616     20777937.463     16419003.145
G 4    -24333306.072    -10255816.810      4426925.634
G 4      7521986.692    -14817033.119    -21063037.223
G 4     21627825.638      -198463.477     15511188.421
G 4     19679425.637      2052092.973     17767644.695
G 4     -9440008.370     24072634.358      5045032.861
G 4    -14353875.873     -8472945.483    -20332513.812
G 4      1636884.621    -20334706.086     16931719.261
G 4     24314880.728     10646081.029      3541822.538
G 4     -8193363.552     14745572.391    -20860013.949
G 5      7641707.560    -21018893.843     14744219.443
G 5     16649368.857      -829705.263    -20573013.305
G 5      -326394.628     25391310.809      6652109.954
G 5    -20890511.179     -9228905.915     13117628.877
G 5    -16447019.185    -18859984.596     -8686468.145
G 5      1943393.151    -16104415.149    -21144105.199
G 5     25738477.124       916938.184      7662203.618
G 5     -8217870.833     21186275.300     14176487.010
G 5    -16480891.614       157336.877    -20718113.183
G 5       648987.058    -25210193.248      7282558.204
G 5     21016469.502      9792868.939     12501660.625
G 5     -2612191.277     15911801.294    -21223719.997
G 5    -25502804.096     -1276322.281      8370664.054
G 6     13970788.082     -4896103.933     21749211.320
G 6     13644839.574     18374078.826    -13494942.170
G 6    -24637401.362      5873514.977     -8813664.366
G 6     -5601001.999    -13936789.514     22208639.597
G 6     18115626.079    -15082135.666    -12230437.895
G 6     12819775.072      8408466.964    -21484130.423
G 6      6192241.004     23878828.880     -9129143.146
G 6    -14407246.311      4059488.021     21640230.044
G 6    -13091637.792    -18319702.474    -14112984.631
G 6     24946523.280     -5613035.183     -8091975.838
G 6      4893480.572     14316483.469     22130947.752
G 6    -18089889.583     14557617.966    -12875651.499
G 7    -16784547.675     17831605.328     -9445766.273
G 7     -8127331.688    -22296493.302    -11240077.923
G 7     12649313.304     -7516491.861     22131365.727
G 7     17228691.833     17494465.252    -10928402.502
G 7    -22129984.986      8923250.483    -12337807.557
G 7     -9450028.070    -11376127.040     22046980.766
G 7     -2823939.173    -15554541.125     21251708.382
G 7     16834540.639    -17440382.130    -10060038.972
