# PRN        X (m)              Y (m)              Z (m)
C 6    -19744171.969     39009386.555      2541025.256
C 6    -15156321.425     40938926.764     11232470.284
C 6    -10858138.304     34064627.887     19129857.530
C 6     -7970087.539     20242433.711     25758357.308
C 6     -7244170.565      3089928.270     30711731.340
C 6     -8868717.939    -12878401.907     33649685.475
C 6    -12393991.387    -23376201.952     34333772.426
C 6    -16831323.737    -25536504.099     32685515.525
C 6    -20933671.457    -18777086.599     28820988.705
C 6    -23567089.879     -4963030.083     23029954.963
C 6    -24027907.782     12176121.036     15716077.054
C 6    -22209290.897     28078033.941      7346062.579
C 6    -18608233.277     38491961.069     -1561777.172
C 6    -14199934.060     40546625.001    -10424258.409
C 6    -10195231.827     33583606.243    -18602011.034
C 6     -7709578.673     19470555.171    -25463884.697
C 6     -7436350.902      2122537.712    -30487293.160
C 6     -9454240.597    -13677375.269    -33331347.007
C 6    -13233513.168    -23664290.075    -33842447.177
C 6    -17798987.748    -25189191.279    -32016030.727
C 6    -21972989.676    -17835269.202    -27969644.362
C 6    -24656012.833     -3537502.228    -21954353.601
C 6    -25115543.697     13852261.443    -14380486.409
C 6    -23210728.334     29589464.498     -5808122.541
C 7     -9216554.554     -3290256.221    -30704882.492
C 7    -11516890.675    -18182500.412    -32812523.672
C 7    -15283448.992    -26307259.539    -32662444.465
C 7    -19538885.101    -25445611.340    -30250206.704
C 7    -23143415.390    -15777731.195    -25723786.455
C 7    -25105943.120        88764.610    -19405967.784
C 7    -24880345.686     17826755.977    -11772974.051
C 7    -22527066.035     32650218.077     -3386570.690
C 7    -18680545.574     40647218.965      5180465.192
C 7    -14359051.023     39755031.046     13385487.843
C 7    -10695099.053     30214519.503     20720343.770
C 7     -8648348.981     14510006.724     26707513.423
C 7     -8750385.897     -3202364.303     30921335.290
C 7    -10946261.986    -18155577.122     33040831.745
C 7    -14602219.544    -26303957.880     32906053.845
C 7    -18695688.242    -25480488.135     30539464.591
C 7    -22115652.444    -15958194.709     26120679.046
C 7    -23959511.375      -302164.665     19942442.404
C 7    -23749199.860     17321883.741     12386551.711
C 7    -21543903.555     32178472.846      3929309.292
C 7    -17937251.710     40185160.302     -4851749.838
C 7    -13917267.394     39088437.266    -13309407.484
C 7    -10597189.938     29184045.685    -20805857.396
C 7     -8897593.399     13232231.680    -26802008.247
C 8    -21715504.597    -15397530.826     29878731.670
C 8    -24699687.177     -1825826.412     23576516.812
C 8    -25133121.230     14654003.340     15646245.156
C 8    -22895520.129     29608518.433      6603072.717
C 8    -18585009.803     38957706.898     -2931608.316
C 8    -13374866.684     40121989.084    -12270286.350
C 8     -8693746.679     32785077.025    -20732902.054
C 8     -5823593.877     18975384.931    -27724259.654
C 8     -5550472.568      2454368.298    -32780460.113
C 8     -7965597.046    -12329476.540    -35578597.875
C 8    -12445754.889    -21402539.504    -35934027.379
C 8    -17805634.140    -22298045.542    -33810310.673
C 8    -22600193.388    -14741903.522    -29342353.766
C 8    -25520587.686      -772729.208    -22848407.861
C 8    -25769666.947     15815140.191    -14805488.435
C 8    -23284928.264     30552881.464     -5790026.029
C 8    -18738811.869     39524857.068      3585717.459
C 8    -13341556.138     40371767.654     12713994.559
C 8     -8520823.259     32865044.063     21007079.024
C 8     -5553945.068     18975919.418     27910768.825
C 8     -5226787.443      2405667.685     32937562.913
C 8     -7609484.735    -12380800.957     35720400.415
C 8    -12032719.038    -21392379.015     36061599.691
C 8    -17283256.846    -22224023.520     33949389.840
C 9     -9317809.512     29715575.334    -13733304.607
C 9     -5623962.564     40031428.987     -5106147.705
C 9     -1005047.797     41965295.746      3823184.613
C 9      3314947.033     35073380.151     12451010.026
C 9      6203352.646     21229902.467     20231859.510
C 9      6904951.986      4089981.108     26681280.395
C 9      5236658.674    -11819804.593     31374364.007
C 9      1653753.688    -22238397.078     33969520.028
C 9     -2851829.299    -24330769.475     34258432.445
C 9     -7024971.126    -17525845.573     32211684.635
C 9     -9714375.080     -3689864.975     27985014.293
C 9    -10198241.925     13434903.722     21882484.460
C 9     -8364471.777     29273030.449     14308172.297
C 9     -4720976.647     39593530.546      5740242.820
C 9      -260299.483     41580349.617     -3268912.748
C 9      3793245.397     34618836.734    -12096056.628
C 9      6314857.057     20564935.536    -20088604.223
C 9      6602462.232      3284298.079    -26646362.162
C 9      4573904.164    -12472110.613    -31302861.468
C 9       768696.679    -22436962.345    -33761902.774
C 9     -3818203.442    -23955567.918    -33886071.572
C 9     -7994266.505    -16622381.399    -31673879.387
C 9    -10660182.446     -2378452.963    -27259442.027
C 9    -11092875.754     14947604.390    -20932750.990
C 0      5802694.491     14470662.267    -21299477.371
C 0      5149207.028     -2531333.268    -28374675.550
C 0      2530479.088    -16162199.478    -33179059.610
C 0     -1377533.764    -22704621.658    -35169091.351
C 0     -5562590.141    -20374376.917    -34099928.033
C 0     -8922480.889     -9778059.668    -30068685.384
C 0    -10546797.728      6196557.719    -23527799.906
C 0     -9976096.874     23122791.998    -15232768.381
C 0     -7348636.791     36287780.023     -6102513.352
C 0     -3363989.650     42041056.728      2966645.737
C 0       920594.790     38763434.712     11254152.310
C 0      4378764.775     27217270.640     18282038.629
C 0      6104307.195     10308562.818     23799632.411
C 0      5645882.896     -7621775.340     27723848.870
C 0      3139805.041    -21874168.660     30071655.136
C 0      -710098.712    -28651725.865     30901098.651
C 0     -4826786.308    -26148909.719     30263714.723
C 0     -8075416.142    -15062209.651     28171415.232
C 0     -9584580.579      1651969.696     24588491.062
C 0     -8968184.541     19613849.318     19463590.042
C 0     -6407889.813     34145010.375     12807269.427
C 0     -2602045.410     41443521.996      4797245.889
C 0      1408323.153     39611391.833     -4134656.667
C 0      4516280.288     29255633.656    -13290128.373
C 1    -22355976.193     23472065.446    -10681800.653
C 1    -18289129.611     20007144.222    -18710327.821
C 1    -14893064.201      6243810.119    -22815615.416
C 1    -13700795.920    -10985024.425    -21755364.628
