# PRN        X (m)              Y (m)              Z (m)
C 6     25244545.375      1482827.379      6233149.363
C 6     20600547.231    -12045672.622     15781668.984
C 6     12940569.772    -17211936.324     21647426.864
C 6      4592459.302    -10805885.568     22466867.654
C 6     -2050643.346      4053109.509     18045428.374
C 6     -5717278.730     19561168.371      9425446.904
C 6     -6839836.579     27450733.899     -1380326.163
C 6     -7188366.434     23396123.603    -11870524.883
C 6     -8795212.255      9315972.677    -19603206.851
C 6    -12756906.687     -7600903.461    -22768181.114
C 6    -18555096.980    -18755391.610    -20632041.492
C 6    -24256164.215    -18731210.302    -13687736.033
C 7      7022894.763     -6964279.562     22463878.462
C 7      1746748.866      9356160.617     17668431.938
C 7      -737620.355     23398705.418      8749664.013
C 7     -1411467.846     27779075.407     -2207237.792
C 7     -2300571.730     20170034.894    -12644453.528
C 7     -5268547.876      4524962.008    -20140048.732
C 7    -10897784.117    -11045116.919    -22951058.498
C 7    -18060732.031    -18581312.706    -20416682.396
C 7    -24433855.461    -14543792.265    -13128961.992
C 7    -27675673.831     -1687759.863     -2784303.123
C 7    -26616748.451     12454535.228      8214728.179
C 7    -21859896.627     19625956.920     17299195.826
C 7    -15468376.412     15327792.379     22342390.084
C 7     -9872461.840      1279568.893     22173321.123
C 7     -6608882.316    -15499453.785     16833730.134
C 7     -5580665.382    -26417159.832      7565466.356
C 7     -5203551.161    -25901701.447     -3463802.710
C 7     -3360305.798    -14395494.500    -13681183.757
C 7      1349949.766      1921056.567    -20716598.483
C 7      8738197.724     14440561.459    -22932530.372
C 7     16999464.588     16718141.411    -19807117.409
C 7     23580204.979      7936652.773    -12070766.048
C 7     26461295.180     -6682312.115     -1523075.285
C 7     25151558.761    -18706531.272      9385376.975
C 8    -10285033.476     10379403.726     12589194.187
C 8    -12539212.822     23360748.109      2135069.589
C 8    -12480685.774     26457503.160     -8821588.779
C 8    -12190164.760     17661304.840    -17719517.519
C 8    -13548870.519      1247423.892    -22480596.979
C 8    -17140631.230    -14519946.944    -22000086.115
C 8    -21870720.438    -21795023.248    -16389464.414
C 8    -25508467.058    -17318962.078     -6956321.696
C 8    -25875507.408     -4152412.164      4094030.564
C 8    -22027767.913     10014148.325     14188433.097
C 8    -14788894.379     17025242.313     20982739.602
C 8     -6376927.976     12644984.075     22891837.362
C 8       694298.577     -1133468.769     19468248.183
C 8      4874183.052    -17139309.406     11511532.614
C 8      6295017.726    -26868563.687       870659.753
C 8      6574531.843    -25026163.370     -9977747.245
C 8      7829074.838    -12387409.934    -18496932.586
C 8     11424988.687      4595840.339    -22698418.217
C 8     17144409.974     17266341.982    -21607917.987
C 8     23212895.438     19375852.272    -15478365.567
C 8     27182004.223     10406125.135     -5739226.052
C 8     27211630.548     -4171106.040      5333017.849
C 8     23042980.628    -15882474.159     15161554.301
C 8     16138640.731    -17828578.244     21463594.064
C 9     20886870.015    -22254618.049      4601017.889
C 9     18954961.649    -23766212.740     14590264.777
C 9     16666774.711    -13654667.638     21178643.128
C 9     15924984.016      3281357.888     22831737.411
C 9     15915161.777      7315096.870     22823179.521
C 9     17273007.492     18607181.811     19163638.932
C 9     19595931.743     24741445.503     11027940.444
C 9     20738702.890     18996876.392       321749.772
C 9     18709171.895      4994397.620    -10458955.835
C 9     12816206.087     -9311329.214    -18802236.803
C 9      4130969.584    -15922791.406    -22763518.579
C 9     -4981312.892    -11109137.929    -21419770.668
C 9    -12017562.500      2581587.299    -15085413.653
C 9    -15559963.524     17692126.939     -5236053.997
C 9    -15915588.171     25861058.230      5834193.795
C 9    -14841102.493     22322495.781     15544657.560
C 9    -14502870.849      8487070.405     21631925.866
C 9    -16233682.937     -8794060.713     22678327.980
C 9    -19758917.590    -20876672.692     18439090.337
C 9    -23310207.646    -21927879.835      9901191.915
C 9    -24569043.394    -12029114.278      -944387.669
C 9    -21914267.986      2956946.026    -11607024.296
C 9    -15420190.999     14313758.431    -19498422.369
C 9     -6733176.905     15650738.510    -22883055.345
C 9      1566181.514      5881238.140    -20934994.963
C 0     20050860.316    -21750202.964     17476051.702
C 0     15099187.547    -11354062.366     21950810.382
C 0     11851367.808      5668633.670     21656713.291
C 0     10879313.582     20792403.731     16269820.969
C 0     11095918.824     26570139.973      6702966.837
C 0     10422008.572     20540054.549     -4919810.612
C 0      7002739.298      6468292.003    -15682691.600
C 0       316292.855     -7736590.228    -22669082.287
C 0     -8435180.732    -14346287.461    -23867514.625
C 0    -16850710.452     -9984513.615    -18834985.700
C 0    -22490022.155      2567603.664     -8892733.758
C 0    -24084305.861     15889824.656      3243060.817
C 0    -22139528.271     21999418.183     14312326.522
C 0    -18587148.666     16733630.846     21499706.285
C 0    -15699787.695      2068660.252     23195109.192
C 0    -14857652.315    -14848378.153     19328941.420
C 0    -15815094.738    -25498540.999     11209272.782
C 0    -16867821.850    -24552386.346       976653.911
C 0    -15826606.207    -12720415.984     -9034847.358
C 0    -11276297.538      3575114.455    -16810977.626
C 0     -3437714.821     15590083.565    -20969674.455
C 0      5848659.384     16920904.425    -20860325.578
C 0     13989379.746      6898999.329    -16535546.765
C 0     18896304.249     -9043316.622     -8727218.518
C 1     17054489.923    -25273795.699    -17115325.385
C 1     12145839.055    -22746644.580    -17526892.582
C 1     18972610.002       246658.643    -13614356.665
C 1     17163626.117    -24398327.621    -15103588.155
C 2     12510129.341     27312246.100     -4700276.265
C 2     12274672.727     21485890.347      5752730.814
C 2      9502865.586      6673925.580     14609878.326
C 2      3365815.330     -9242893.409     20101221.272
C 2     -5232436.204    -17867598.419     21357405.425
C 2     15455435.479     16414124.609    -19953619.995
C 2     18337437.091    -25007111.687    -15716678.213
C 2     19462514.304    -20923846.884    -18449398.684
C 2    -14037728.149    -14741387.157     18304051.869
C 2    -20535487.743     -1705201.847     11554036.789
C 2     12145839.055    -22746644.580    -17526892.582
C 2    -23181347.981     14077578.862      2316337.284
C 2    -22136020.342     23927817.850     -7691896.781
C 2    -19103276.913     22276969.791    -16424490.762
C 2     -7580772.836      -943923.321     21323755.100
C 2    -16354145.004      9612365.404    -21839625.324
C 2    -15475815.901     -7805670.548    -22383001.421
C 2    -16514928.787    -21286687.530    -17520915.676
C 2    -17972834.517    -24347715.148     -8097182.988
C 2     26801717.336     11780867.516      4143444.356
C 2    -17641613.216    -16072110.724      3762071.858
C 2    -13879231.734     -1698434.910     14900060.231
C 2     -6601741.969     10511422.504     22340960.369
C 2      2593515.538     13662973.672     23997574.149
C 2     11098896.070      6053242.966     19433463.661
C 2     16840771.864     -8075779.963      9889287.039
C 2     18849306.568    -20656333.223     -1989308.441
C 2    -12446454.356     -4416796.630     32707561.202
C 2     17976427.450    -24267197.348    -13039133.721
C 2     16258605.025    -16199134.152    -20522173.965
C 2     15741946.915         8380.380    -22841562.940
C 3    -12021468.831      1930021.194     21997284.109
C 3    -15898650.858    -14325748.116     21365054.401
C 3      6991651.362      -386650.589    -21187505.911
C 3    -21133486.422    -22404347.876     16174601.218
C 3      9657933.608     11717960.286    -21852380.248
C 3    -25561476.483    -18473436.288      7809125.073
C 3    -26918005.008     -4988106.710     -1971072.498
C 3    -24072428.214     10272844.368    -11135099.079
C 3    -17596283.437     19000553.865    -18130151.019
C 3     -9566995.677     16109018.028    -21530637.471
C 3    -14710152.645      6478205.685     12645522.979
C 3     -2493760.575      2808916.634    -20497634.170
C 3     -7347230.097     10085076.744     20211898.397
C 3      1939802.769    -14128881.143    -14950533.245
C 3      3667088.132    -25973471.978     -5757178.211
C 3      4154635.476    -26655369.506      5227791.425
C 3      5517961.886    -15938550.964     15481925.465
C 3      9182039.929       318422.512     22215914.015
C 3     15166608.986     13742945.764     23569106.552
C 3     21810924.970     17566650.045     18867269.072
C 3     26673274.513     10441738.160      9170021.361
C 3     27773649.613     -2938224.240     -2993936.920
C 3     24618483.126    -14460115.247    -14359329.079
C 3     18455906.886    -17032287.699    -21894933.305
C 3      2137245.570     16764704.482    -12125970.678
C 3      3740694.725     21907744.348    -10760921.632
C 3      2958528.993     27897747.046       213980.074
C 4    -20244563.676     21939156.210    -17235799.565
C 4    -15309463.722     11807676.800    -21845133.008
C 4    -12027896.825     -5148728.557    -21722455.181
C 4    -11006979.655    -20449361.578    -16497207.869
C 4    -11201835.574    -26536002.144     -7030715.375
C 4    -10542185.137    -20728211.749      4627727.119
C 4     -7161858.690     -6747311.077     15440616.291
C 4      -513582.017      7542260.025     22543079.391
C 4      8229322.872     14350741.178     23890497.889
C 4      6856069.801     -7247227.321    -15440681.167
C 4     -7401921.791     10006718.940     20252055.763
C 4     16601585.588     10223600.539     19036709.584
C 4     22331407.082     -2228901.006      9222620.111
C 4     24048456.107    -15659020.364     -2866641.011
C 4     22212266.307    -22048086.620    -13995204.501
C 4     18712936.652    -17083315.233    -21322085.876
C 4     15820374.304     -2584861.485    -23194102.440
C 4     14942549.047     14397347.346    -19499043.995
C 4     17031839.534     25118133.672     -6951386.720
C 4     16944979.272     24695052.679     -1298676.940
C 4     15969564.192     13064243.153      8740947.399
C 4     11511114.885     -3235457.398     16595557.729
C 4      3740719.136    -15454109.122     20872598.565
C 4     -5538879.845    -17068594.484     20896710.674
C 4    -13731430.078     -7256731.256     16700854.971
C 4    -18731343.312      8655295.464      9004326.999
C 5      9581683.728    -10079570.058    -13398604.134
C 5     11768728.701    -23635871.982     -4079398.664
C 5     11772228.788    -27103358.707      6585834.814
C 5     11687374.760    -18600520.176     16207102.222
C 5     13339725.298     -2485538.012     22339254.640
C 5     17212500.028     12996495.732     23155834.859
C 5     22121219.245     20145849.346     18115521.789
C 5     25815701.700     15931426.133      8281708.633
C 5     26160576.286      3511372.109     -3875318.079
C 5     22225861.677     -9600119.307    -15165998.289
C 5      8368117.739      1669520.539    -21431931.155
C 5     15076435.380    -15400022.255    -22404272.004
C 5     -3721372.982      8471069.915    -15809015.207
C 5     -4092140.008     18759622.844     -9790630.502
C 5     -5457999.627     27082737.485      1626309.780
C 5     -5827054.861     23719586.295     12187704.807
C 5     -7300535.077     10009514.558     19484352.480
C 5    -11172067.817     -7239957.246     22135549.990
C 5    -17121472.131    -19312891.800     19929878.239
C 5     14559180.963     10483446.767    -21829768.462
C 5    -23303356.292    -20235250.604     13666501.968
C 5    -27284192.807     -9968360.942      4795895.291
C 5    -27268876.742      5680603.425     -4984095.775
C 5     17575635.277    -24373183.386    -14130779.829
C 5    -23133815.213     17776065.327    -13701929.329
C 5    -16339685.597     19651759.776    -19814289.320
C 6     20933472.159     16233933.623     17057271.602
C 6     26069650.052      5267522.253      7976693.472
C 6     27186188.227     -9555656.635     -2951662.893
C 6     24299238.466    -19665022.656    -13190065.043
C 6     19026997.026    -18984519.361    -20360119.425
C 6     13735994.448     -7226171.412    -22772329.733
C 6      9830523.400     13825599.782    -18409063.806
C 6      9052602.401     26441206.504     -8449168.729
C 6      8989786.486     27088861.806     -1889142.169
C 6      4747972.664    -14700132.644    -16357474.121
C 6      7837979.966     18682802.840      8984126.954
C 6      3966799.838      3093022.787     17757568.126
C 6     -2935652.873    -11288857.720     22395635.011
C 6     -2190516.393     14099917.479    -22300110.410
C 6    -11528190.427    -16897006.267     21834626.771
C 6    -19397213.300    -10982804.487     16195415.990
C 6    -24222069.816      2902990.421      6786247.737
C 6    -24953380.048     16811682.654     -4193149.737
C 6    -22298043.775     22714984.907    -14195131.017
C 6    -18265750.348     16806077.202    -20893428.731
C 6    -15076565.770      1598985.290    -22707538.337
C 6    -13966954.873    -15348870.320    -19212987.431
C 6    -14536319.036    -25523288.650    -11236721.599
C 6    -15013589.260    -23944236.091      -576476.423
C 6    -13278901.677    -11879961.965     10176845.034
C 6     -8134338.507      3865106.526     18551696.196
C 7      9810606.780    -15235802.146    -21393713.949
C 7      5302100.475      2078005.899    -21453600.202
C 7       684608.810    -14285039.312    -22567616.944
C 7     -7324107.766     -2800680.657    -18464357.790
C 7      3254012.798     14876013.030    -22849608.918
C 7    -12310133.934     13049410.488    -10050703.406
C 7     20280815.101    -23709937.236    -14301549.812
C 7    -13964938.265     24623966.341       705748.820
C 7    -13600610.164     25444869.995     11306028.299
C 7    -13326777.374     14673608.840     19272426.106
C 7    -14829520.928     -2385449.715     22744560.389
C 7      5427713.415    -10805665.530    -18107022.873
C 7    -18394037.279    -17153951.485     20930260.483
C 7      8821183.221      2951266.270    -22023223.508
C 7    -22699909.086    -22355868.240     14252564.205
C 7    -25488198.395    -15833659.245      4253422.486
C 7      3995562.087     13381139.624    -22671637.297
C 7    -24775529.103     -1711251.423     -6732063.019
C 7    -19952759.538     11844144.135    -16141767.086
C 7    -12141382.822     17054279.250    -21793394.319
C 7     -3672820.536     10695740.703    -22360467.490
C 7      3043893.115     -4113176.276    -17698676.158
C 7      6730465.958    -19555046.177     -8906648.771
C 7      7823153.853    -27352892.150      1962129.834
C 7      8096383.532    -23186144.515     12382055.308
C 7      9584104.305     -9016977.292     19915977.628
C 7     13382666.846      7925620.601     22806853.923
C 7     18979209.092     19058457.087     20398153.143
C 7     24451585.435     19001883.704     13248375.583
C 7      9966582.708     -9993813.644    -19868889.963
C 8    -17810056.207    -18648606.257     30338198.789
C 8    -20816951.383     -5445882.494     24959319.326
C 8    -21621692.541     11488246.071     17857452.490
C 8    -20005271.946     27583195.423      9515324.722
C 8    -16403686.542     38477922.397       512084.635
C 8    -16451160.356     38671439.174      -390817.847
C 8    -16341254.605     38845130.645      -164208.756
C 8    -11652425.000     41291893.719      8807217.523
C 8     -7260643.508     34897729.168     17188311.726
C 8     -4341924.202     21369482.467     24402811.838
C 8     -3675775.600      4347353.397     29948515.695
C 8     -5432869.302    -11578138.658     33440565.706
C 8     -9131675.299    -22119426.199     34641893.492
C 8    -13773804.112    -24449374.147     33475025.552
C 9    -12287045.271     38767279.403     -3146856.685
C 9     -7867068.471     41856232.265      5504425.861
C 9     -3428588.245     36345498.736     14161455.372
C 9      -337859.839     23397904.559     21850445.201
C 9       580248.365      6504012.532     28040068.956
C 9      -914212.956     -9784970.434     32307281.764
C 9     -4415732.216    -21090888.100     34364495.370
C 9     -8984873.234    -24377955.446     34072731.080
C 9    -13397128.483    -18757008.408     31446981.323
C 9    -16466140.845     -5730155.808     26658267.163
C 9    -17362221.307     11194863.343     20029593.142
C 9    -15841404.041     27442839.338     12018721.484
C 9    -12316302.609     38619164.913      3184055.060
C 9    -12222393.754     38809898.356     -3121338.750
C 5     14048941.421     12475690.178     23296857.544
C 5     11471726.817     12498376.423     21940237.509
C 5     18682821.018      2038405.710     14106752.151
C 5     18765803.246     25371112.132     -5291598.295
C 5     18842601.035     17653985.051      4011502.680
C 5     15946388.556      2093834.076     13052069.343
C 5      9360558.882    -12372595.003     19192240.567
C 5       380088.041    -17938292.960     21383890.083
C 5     -8539848.904    -11602590.214     19270191.918
C 5    -15003752.700      3239339.714     13184912.752
C 6     27256615.117      7756509.676      1347631.417
C 6     -2557666.416     27103073.232     -2527691.126
C 6     -2885299.059     27181266.189      4862404.692
C 6     -4011648.786     17586388.017     14763020.012
C 6     -7349230.297      1176673.426     21227002.391
C 6    -13170510.272    -13559282.163     22739973.348
C 6    -20085027.570    -19153462.554     18959481.607
C 6      8511644.089     13057141.891     22865481.548
C 6     11448747.476     16057162.605     22570974.236
C 6     -7653408.797     38865455.069     -5669648.686
C 6     -4844117.535     42085899.395       -14776.776
C 6      -431359.696     39547613.015      8645187.083
C 6      3065452.710     28680664.895     16751861.243
C 6      4725629.705     12361670.777     23743911.698
C 6      4125111.168     -5023639.739     29120299.942
C 6      1454955.605    -18783601.185     32499443.860
C 6     -2541722.539    -25231136.744     33656776.734
C 6     -6786631.235    -22669808.515     32527389.710
C 6    -10155923.959    -11798807.625     29187470.927
C 6    -11762367.430      4488486.530     23840723.686
C 6    -11178358.590     21824956.769     16822136.117
C 6     -8558648.291     35495614.076      8603729.621
C 6     -4617006.130     41743198.504      -226428.783
C 7      8892185.517     -7522944.345     20525515.624
C 7     12177849.739      6401854.606     23047018.907
C 7     17963745.372     18099191.181     21187179.015
C 7     23854284.948     18924834.630     14396949.291
C 7     27368946.133      9067150.053      4251662.222
C 7      -344873.167     27774905.986      1746798.211
C 7      -353177.284     27726439.129      2027568.906
C 7     -1241242.770     19859026.491     12578935.109
C 7     -4351395.659      4195026.593     20197074.398
C 7    -10209975.548    -11102546.161     23108664.927
C 7    -17619547.623    -18220323.332     20645349.221
