# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
          90   G25   -1.6668   -1.0643   -0.9286         2.1848     75.5499
          90   G26   -1.1866    0.3138   -0.2211         1.2471    461.2133
          90   G27   -1.0071    0.4296   -0.3204         1.1408   2551.5743
          90   G28    1.3100    0.5932    0.3363         1.4769   7279.2240
          90   G29    0.0821    0.0852   -0.1296         0.1755    326.9339
          90   G30    0.0424    0.4404   -1.4583         1.5239    190.2108
          90   G31    0.2948    1.5544   -0.8819         1.8113      3.0409
          90   G32   -0.8643   -0.1765    0.7423         1.1529   4698.0850
         120   G01   -0.2374    0.4600    0.7567         0.9168   2044.4040
         120   G02   -0.6619   -1.4974   -1.8775         2.4910   4398.4630
         120   G03   -2.2231    0.1780    1.3135         2.5883    206.8655
         120   G05    0.5679   -0.3384    0.6528         0.9291     83.1388
         120   G06    1.2204   -0.2353    0.2206         1.2623   5839.9588
         120   G08   -0.7828    1.1508    0.1008         1.3955    802.5297
         120   G09   -0.7358    1.4627    0.6327         1.7554    938.1147
         120   G10   -0.1590   -1.5809   -1.6996         2.3266   9248.9733
         120   G11    0.8343    1.2314    2.0854         2.5615   3212.4386
         120   G12    0.0257   -0.2013   -0.2974         0.3600   2705.3150
         120   G13    0.8397   -1.3614   -0.6732         1.7355    459.9835
         120   G14   -0.7886    0.9429    1.4543         1.9042    556.9177
         120   G15   -0.6627   -0.4667    0.6483         1.0379   5621.5281
         120   G16   -1.7321   -0.2590   -0.4484         1.8079     79.2997
         120   G17   -0.2863   -0.2594    0.2340         0.4517   9533.4674
         120   G18    0.1084    0.8454    1.4491         1.6812   9776.9344
         120   G19    0.0402    1.1276   -0.3047         1.1688    932.2596
         120   G20   -1.4328   -1.2850    0.3795         1.9617   4214.5567
         120   G21   -0.3677   -1.8086   -0.7124         1.9783    260.8159
         120   G22    0.3632    0.5022   -0.2126         0.6552   1501.6605
         120   G23   -2.0229   -0.2210    1.7528         2.6857   9914.4241
         120   G24   -0.0067   -1.0304    0.5283         1.1579     22.6950
         120   G25   -1.7516   -1.1853   -0.5774         2.1924     75.5499
         120   G26   -1.0418    0.4281   -0.3751         1.1871    995.6219
         120   G27   -1.1520    0.2645   -0.4957         1.2817   2552.9140
         120   G28    1.1262    0.9970   -0.3079         1.5353   7279.2287
         120   G29    0.9557   -0.3471    1.1292         1.5195    792.6932
         120   G30   -0.1769    0.5311   -1.2530         1.3723    190.2339
         120   G31    0.0861    1.7749   -0.8826         1.9841      3.0597
         120   G32   -0.8436   -0.2337    0.8602         1.2273   4699.4247
         150   G01   -0.5145    0.2895    0.4232         0.7264   2045.3978
         150   G02   -0.2848   -1.5657   -1.6449         2.2887   4398.5194
         150   G03   -2.3888    0.1773    0.7359         2.5058    207.0024
         150   G05    0.2997   -0.6925    0.3203         0.8197     83.1520
         150   G06    1.0515   -0.0374    0.4116         1.1298   5840.6259
         150   G08   -0.6363    1.2554    0.0522         1.4084    802.6291
         150   G09   -0.8669    1.3326    0.9727         1.8637    938.2846
         150   G10    0.1719   -1.5000   -1.7297         2.2960   9250.6208
         150   G11    0.5019    1.3710    1.7989         2.3168   3212.9968
         150   G12   -0.2686   -0.4713   -0.2639         0.6033   2705.3858
         150   G13    0.8765   -1.1525   -1.0089         1.7648    460.0260
         150   G14   -0.7521    0.5080    1.7131         1.9386    557.0075
         150   G15   -0.4614   -0.5220    0.5097         0.8633   5621.6795
         150   G16   -1.7122   -0.0485   -0.3042         1.7397     79.4179
         150   G17   -0.2767   -0.2896    0.3373         0.5237   9533.4859
         150   G18   -0.1672    0.8933    1.1817         1.4908   9777.1095
         150   G19   -0.0477    1.0476   -0.5459         1.1823    932.4297
         150   G20   -1.1805   -1.4806    0.0188         1.8938   4214.5690
         150   G21   -0.2453   -1.9573   -0.4427         2.0217    260.8676
         150   G22    0.3804    0.3597   -0.2188         0.5675   1501.7267
         150   G23   -2.2242   -0.6849    1.9440         3.0323   9914.4903
         150   G24    0.4148   -1.1007    0.1383         1.1844     22.7025
         150   G25   -1.6944   -1.2517   -0.1173         2.1099     75.5499
         150   G26   -1.1000    0.3819   -0.5420         1.2844    995.6923
         150   G27   -1.1127    0.4794   -0.5934         1.3491   2554.2537
         150   G28    1.3070    0.7734   -0.2815         1.5445   7279.2333
         150   G29    1.0174   -0.0100    1.3302         1.6747    792.7920
         150   G30   -0.5416    0.9164   -1.0387         1.4872    190.2570
         150   G31   -0.0062    1.5660   -0.5972         1.6760      3.0785
         150   G32   -0.8403   -0.5075    0.8138         1.2751   4700.7644
         180   G01   -0.8644    0.2852    0.0568         0.9120   2046.3917
         180   G02   -0.0906   -1.6972   -1.2339         2.1003   8415.0593
         180   G03   -2.4591    0.2025    0.0886         2.4690    207.1393
         180   G05   -0.1755   -1.0667   -0.1866         1.0971     83.1652
         180   G06    1.0002    0.1476    0.5015         1.1285   5841.2930
         180   G08   -1.4016    0.2385   -0.1464         1.4293    787.2512
         180   G09   -1.0463    1.1179    1.2671         1.9875    938.4545
         180   G10    0.6211   -1.4537   -1.7276         2.3417   9252.2682
         180   G11    0.0162    1.6055    1.1919         1.9997   3213.5549
         180   G12   -0.7649   -0.7466   -0.0894         1.0726   2705.4566
         180   G13    0.9081   -0.7951   -1.2412         1.7313    460.0685
         180   G14   -0.7330    0.0410    1.7273         1.8769    557.0974
         180   G15   -0.2409   -0.5461    0.3195         0.6770   5621.8308
         180   G16   -1.5024    0.3408   -0.3815         1.5871     79.5360
         180   G17   -0.1228   -0.4870    0.6768         0.8428   9533.5044
         180   G18   -0.5299    1.1865    0.7452         1.4980   9777.2845
         180   G19   -0.1365    1.0354   -0.7294         1.2739    932.5999
         180   G20   -0.5917   -1.7251   -0.4732         1.8841   4214.5813
         180   G21   -0.6232   -1.5778   -0.5753         1.7913    954.2133
         180   G22    0.2182    0.2702   -0.1198         0.3674   1501.7928
         180   G23   -0.5606   -0.3056    0.1163         0.6490   3616.1474
         180   G24    0.8907   -0.9994   -0.4963         1.4277     22.7101
         180   G25   -1.6434   -1.2497    0.3351         2.0916     75.5499
         180   G26   -1.1966   -0.2555    0.0718         1.2257     65.7876
         180   G27   -0.9197    0.8847   -0.6773         1.4447   2555.5935
         180   G28    1.7666    0.3293    0.0833         1.7990   7279.2379
         180   G29   -0.1217    0.1303   -0.2063         0.2727     80.6582
         180   G30   -0.5100    1.1021   -0.6771         1.3904    657.4778
         180   G31    0.0641    1.0164   -0.2183         1.0416      3.0972
         180   G32   -0.7867   -0.7863    0.5410         1.2369   4702.1041
         210   G01   -0.7567    0.1803   -0.1616         0.7945   1916.0386
         210   G02    0.0766   -1.9553   -0.9938         2.1947   8415.1157
         210   G03   -2.6681    0.2418   -0.5156         2.7282    841.5347
