# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
         420   G11   -1.2737   -0.1847   -0.7756         1.5027   1998.7802
         420   G12    0.3621   -0.7075    0.6370         1.0185   5429.1183
         420   G13    1.4631    0.9774   -0.1336         1.7646      1.1332
         420   G14   -1.5284   -0.6339   -0.7665         1.8236    892.1298
         420   G15   -0.0789   -0.4151   -0.0565         0.4262   6482.2431
         420   G16   -0.2290   -1.2637    1.3481         1.8619     27.5206
         420   G17    0.4331   -0.1168    0.1081         0.4614   8719.3585
         420   G18   -0.6428    2.1539   -2.4911         3.3553   7030.1875
         420   G19   -2.0927    0.2525   -0.3535         2.1373   6426.7938
         420   G20    0.5208   -1.7344   -1.3162         2.2387   6542.8387
         420   G21    0.9499   -1.1607    0.7711         1.6865     44.9037
         420   G22   -0.1192   -0.2841    0.1721         0.3529   3632.4217
         420   G23   -0.0524   -0.8807   -0.2164         0.9085   6852.6050
         420   G24    0.6113   -0.1633   -1.0186         1.1991     73.2907
         420   G25    1.1462   -1.0039    1.0666         1.8600      6.8724
         420   G26   -0.2307   -0.6211    0.8459         1.0745    670.7135
         420   G27   -1.3946   -0.2745    0.2808         1.4488   2056.3022
         420   G28   -0.6347    1.3966   -0.4153         1.5893   3530.5122
         420   G29   -0.1688    0.1393    0.1907         0.2903    834.8757
         420   G30   -0.6542    0.5535    1.0996         1.3941    126.3963
         420   G31   -0.9081    0.2199   -0.1080         0.9405     82.3768
         420   G32   -0.1078   -0.3759   -1.0527         1.1230   3737.1512
         450   G01   -0.7542   -0.6112   -0.9843         1.3825   1195.6343
         450   G02    0.8909   -0.7438    1.4270         1.8394   7379.8570
         450   G03   -0.5043    0.0736   -1.3568         1.4494    645.4870
         450   G05    1.3855   -0.2453   -0.3300         1.4452     27.6739
         450   G06   -0.0996    0.5397   -1.0195         1.1579   4036.7581
         450   G08   -0.7852   -0.9653    0.8031         1.4810    413.8012
         450   G09   -1.7016   -0.2231   -0.6349         1.8298    760.2341
         450   G10    2.5088   -0.5687    1.3023         2.8833   2171.7112
         450   G11   -1.3456   -0.7623   -0.3175         1.5788   1999.3384
         450   G12    0.6982   -1.0917    0.6142         1.4341   6557.9061
         450   G13    1.4169    1.0052    0.1873         1.7473    305.8768
         450   G14   -1.2113   -0.5420   -1.1923         1.7839     59.3765
         450   G15   -0.1802   -0.1615    0.1232         0.2716   6482.3945
         450   G16   -0.3478   -1.2553    1.2701         1.8193    501.2531
         450   G17    0.0859   -0.2396    0.0838         0.2679   8079.3995
         450   G18   -0.8361    1.7561   -2.7060         3.3325   5656.1137
         450   G19   -1.8919    0.1450    0.1730         1.9053   8707.7191
         450   G20    1.0337   -1.5209   -0.6383         1.9466   6542.8510
         450   G21    0.7508   -1.3557    0.7245         1.7107    669.5714
         450   G22   -0.1389   -0.4293    0.2086         0.4971   9930.3683
         450   G23   -0.0789   -1.1143   -0.6738         1.3046     88.6002
         450   G24    0.5578    0.1620   -0.8478         1.0276     98.5584
         450   G25    1.3140   -1.2389    0.9080         2.0213    472.5337
         450   G26   -0.1100   -0.7057    0.8393         1.1021    275.1468
         450   G27   -1.3943   -0.2436    0.4227         1.4772   6802.6374
         450   G28   -0.5790    1.4516   -0.2840         1.5883   1423.3050
         450   G29   -0.1199    0.1953    0.1051         0.2521     54.0637
         450   G30   -0.7289    0.4138    1.1536         1.4259    126.4194
         450   G31   -0.7703    0.1951   -0.1736         0.8134     82.3956
         450   G32    0.2175   -0.2459   -1.0938         1.1420   8017.8250
         480   G01   -0.7987   -0.9078   -0.9314         1.5263   1196.6282
         480   G02    0.8042   -0.2188    1.0473         1.3384   7379.9133
         480   G03    0.0080   -2.0332   -1.7539         2.6851    645.6228
         480   G05    1.5029   -0.4485   -0.2743         1.5922     27.6871
         480   G06   -0.4544    0.5341   -1.0701         1.2794   4037.4253
         480   G08   -0.6589   -0.9651    0.9132         1.4831    413.9006
         480   G09   -1.5369   -0.3059   -1.0109         1.8648    760.4039
         480   G10    2.4597   -0.0994    1.6404         2.9582   2173.3586
         480   G11   -1.2986   -1.1782    0.1120         1.7570   1999.8965
         480   G12    0.9138   -1.3508    0.4831         1.7009   6557.9769
         480   G13    1.2442    1.0028    0.5672         1.6957    305.9193
         480   G14   -0.8292   -0.4482   -1.4903         1.7633     59.4663
         480   G15   -0.2360    0.0083    0.1650         0.2881   6482.5459
         480   G16   -0.5795   -1.1724    1.2113         1.7826    501.3476
         480   G17    0.1689   -0.2495   -0.0782         0.3113   8079.4180
         480   G18   -1.1429    0.9562   -2.6921         3.0770   5656.2888
         480   G19   -2.0455    0.0930    0.4690         2.1006   8707.8893
         480   G20    1.7791   -0.9420   -0.0971         2.0155   6077.2019
         480   G21    1.2289   -1.0560    0.7587         1.7892    669.6231
         480   G22   -0.1235   -0.4901    0.1940         0.5414   9930.4345
         480   G23    0.1445   -1.0819   -0.7687         1.3350     88.6664
         480   G24    0.4720    0.3904   -0.8323         1.0334     98.5659
         480   G25    1.4508   -1.5731    0.7921         2.2818    472.5337
         480   G26    0.0829   -0.8088    0.6355         1.0320    275.2173
         480   G27   -1.2760   -0.2918    0.6963         1.4826   6803.9772
         480   G28   -0.2882    1.6383   -0.4307         1.7183   1423.3096
         480   G29   -0.0425    0.1335    0.1475         0.2034     54.1625
         480   G30   -0.8281    0.2142    1.0881         1.3841    126.4425
         480   G31   -1.5140   -0.1032    0.3944         1.5679     51.0916
         480   G32    0.5667   -0.1409   -0.9560         1.1203   8019.1647
         510   G01   -0.9477   -0.9547   -0.9746         1.6612   1197.6221
         510   G02    1.4478   -0.0489    1.3148         1.9563   7379.9696
         510   G03    0.0878   -2.4742   -1.2159         2.7582    645.7597
         510   G05    1.2938   -0.3883   -0.3088         1.3856     27.7003
         510   G06   -0.4574    0.7771   -0.8841         1.2629   4038.0924
         510   G08   -0.3725   -1.1302    1.1091         1.6267    414.0000
         510   G09   -1.2576   -0.3831   -1.2785         1.8338    760.5738
         510   G10    2.4164    0.4090    1.7480         3.0103   2175.0061
         510   G11   -1.3019   -1.1457    0.2238         1.7486   2000.4547
         510   G12    0.8069   -0.9764    0.2168         1.2851   6558.0477
         510   G13    1.1124    0.9338    0.8494         1.6826    305.9618
         510   G14   -0.5738   -0.3980   -1.6854         1.8244     59.5562
         510   G15   -0.1748    0.0267    0.0341         0.1801   6482.6972
         510   G16   -0.2878   -1.4479    0.8353         1.6962    501.4421
         510   G17    0.1333   -0.2428   -0.1558         0.3178   8079.4364
         510   G18   -1.7266    0.6385   -2.9416         3.4701   5656.4639
         510   G19   -1.8429   -0.0040    0.7587         1.9930   8708.0594
         510   G20    1.8393   -1.1945   -0.0142         2.1932   6077.2142
         510   G21    1.2944   -1.0110    0.7166         1.7919    669.6748
         510   G22   -0.1673   -0.4567    0.1485         0.5086   9930.5006
         510   G23    0.3518   -0.8145   -0.6682         1.1107     88.7325
         510   G24    0.4779    0.4583   -0.8532         1.0799     98.5735
         510   G25    1.5059   -1.5670    0.3860         2.2073    472.5337
         510   G26    0.4270   -0.9208    0.2119         1.0369    275.2878
         510   G27   -1.0235   -0.4283    0.8625         1.4053   6805.3169
         510   G28   -0.5843    1.4470    0.1313         1.5661   1423.3142
         510   G29   -0.0026    0.0656    0.1498         0.1636     54.2613
         510   G30   -0.9547    0.0077    0.9891         1.3747    126.4656
         510   G31   -1.6905   -0.3208    0.2390         1.7371     51.1104
         510   G32    0.6806   -0.0476   -0.8776         1.1116   8020.5044
         540   G01   -1.1210   -0.8786   -1.1140         1.8082   1198.6160
         540   G02    2.5209    0.0789    1.6954         3.0390   7380.0260
         540   G03   -0.4429   -0.4763   -1.0251         1.2140    814.5422
         540   G05    1.0383   -0.1720   -0.3203         1.1001     27.7136
         540   G06   -0.2791    1.0418   -0.7492         1.3132   4038.7595
         540   G08    0.1141   -1.3364    1.1377         1.7588    414.0993
         540   G09   -0.9624   -0.4989   -1.4826         1.8367    760.7437
         540   G10    1.2065   -0.7304   -0.0244         1.4106   5546.8843
         540   G11   -1.2750   -0.8844    0.1044         1.5552   1905.0337
         540   G12    0.6152   -0.4339    0.1311         0.7641   6558.1185
         540   G13    0.9797    0.8560    1.0804         1.6912    306.0042
         540   G14   -0.3300   -0.4226   -1.8770         1.9521     59.6460
         540   G15   -0.3026    0.2157   -0.0075         0.3716   6924.4677
         540   G16   -0.1350   -1.6356    0.4054         1.6905    975.1755
         540   G17   -0.0466   -0.3159   -0.0272         0.3204   8079.4549
         540   G18   -2.3527    0.5458   -3.2099         4.0171   5656.6390
         540   G19   -0.6431   -0.2410    0.4368         0.8139    988.9861
         540   G20    1.4450   -1.8445    0.0697         2.3441   7474.1612
         540   G21    1.1214   -1.2345    0.8361         1.8656    669.7265
         540   G22   -0.1882   -0.2481    0.0987         0.3267   9930.5668
         540   G23    0.4248   -0.5177   -0.5208         0.8483     88.7987
         540   G24    0.5537    0.4377   -0.8457         1.1015     98.5810
         540   G25    1.5266   -1.1789   -0.1385         1.9338    472.5337
         540   G26    0.7013   -0.9228   -0.1779         1.1727    275.3582
         540   G27   -0.6504   -0.5932    0.9210         1.2741   6806.6566
         540   G28   -1.0440    0.8036    1.1945         1.7783   1423.3188
         540   G29   -0.0686    0.0750    0.0569         0.1165     54.3601
         540   G30   -1.1348   -0.1240    0.8880         1.4462    126.4887
         540   G31   -1.1795   -0.4361    0.0849         1.2604     43.1670
         540   G32    0.7498   -0.0347   -0.8823         1.1583   8021.8441
         570   G01   -1.1848   -1.2277   -0.8371         1.9005    602.6016
         570   G02    2.0303    0.2185    0.8692         2.2193   1396.5663
         570   G03   -0.3404   -0.9632   -0.6955         1.2359    814.6554
         570   G05    0.9593   -0.3673   -0.1402         1.0368     87.3029
         570   G06   -0.7551    0.9734   -0.9338         1.5458   6458.8060
         570   G08    0.2233   -1.2508    0.9725         1.6000    727.0269
         570   G09   -0.6651   -0.6773   -1.6327         1.8886    678.1046
         570   G10    1.4601   -0.1171    0.4772         1.5406   5548.5318
         570   G11   -1.0201   -1.2169    0.6250         1.7065   1905.5919
         570   G12    0.7755   -0.8316   -0.0923         1.1409   8152.5677
         570   G13    0.5167    0.8865    1.2039         1.5818     76.4092
         570   G14    0.1860   -0.5218   -1.8616         1.9423    226.8927
         570   G15   -0.1625    0.1930   -0.1451         0.2910   6924.6191
         570   G16   -0.1690   -1.6152    0.0292         1.6243    975.2700
         570   G17    0.0038   -0.0710   -0.3801         0.3867   7439.4960
         570   G18   -2.3724   -0.1466   -2.1677         3.2169   3816.9039
         570   G19   -0.7212   -0.4076    0.5101         0.9729    989.1563
         570   G20    1.5483   -1.6713    0.5000         2.3325   7474.1735
         570   G21    1.5021   -0.7319    0.3225         1.7017    760.0555
         570   G22   -0.1061   -0.2442    0.0417         0.2695   5762.8520
         570   G23    0.6492   -0.5334   -0.5559         1.0075   3324.7938
         570   G24    0.6135    0.4783   -0.6577         1.0187     23.8487
         570   G25    1.4998   -1.5191   -0.4118         2.1741    938.1950
         570   G26    0.7537   -0.7520   -0.2542         1.0946    879.7915
         570   G27   -0.5993   -0.5874    0.9901         1.2979   1087.3305
         570   G28   -0.7124    1.3159    0.8737         1.7327   9781.7728
         570   G29    0.0110   -0.0898    0.1059         0.1393    807.8868
         570   G30   -1.2502   -0.0501    0.7323         1.4497    593.7094
         570   G31   -0.6614   -0.3343   -0.0605         0.7436     43.1858
         570   G32    1.0437    0.0345   -0.5493         1.1799   2302.5180
         600   G01   -1.2700   -1.3088   -0.6619         1.9401    603.5955
         600   G02    2.2708    0.3465    0.4172         2.3346   1396.6227
         600   G03   -0.4040   -1.2477   -0.4750         1.3948    814.7687
         600   G05    0.6578   -0.2137   -0.1676         0.7117     87.3161
         600   G06   -0.7584    1.0230   -0.8663         1.5402   6459.4731
         600   G08    0.2796   -1.1687    0.7260         1.4040    727.1263
         600   G09   -0.3025   -0.8904   -1.6464         1.8960    678.2745
         600   G10    2.4572    1.9692    1.3558         3.4284   6947.1485
         600   G11   -0.8664   -1.3653    0.8453         1.8246   1906.1500
         600   G12    0.7169   -0.6395   -0.2586         0.9949   8152.6384
         600   G13    0.1235    0.9688    1.2311         1.5714     76.4517
         600   G14    0.4989   -0.7304   -1.7477         1.9588    226.9825
         600   G15   -0.0369    0.1817   -0.2492         0.3106   6924.7705
         600   G16   -0.0849   -1.6518   -0.3302         1.6866    975.3636
         600   G17    0.2596    0.1637   -0.7273         0.7894   7439.5144
         600   G18   -2.4588   -0.2614   -1.5106         2.8975   3817.0790
         600   G19   -1.2271   -0.7385    1.6010         2.1481   1454.9862
         600   G20    1.5296   -1.6114    0.8042         2.3628   7474.1858
         600   G21    1.7209   -0.1961   -0.0606         1.7331    760.1072
         600   G22   -0.1371   -0.0543   -0.1905         0.2409   5762.9182
         600   G23    0.8035   -0.4251   -0.4892         1.0323   3324.8600
         600   G24    0.6442    0.5312   -0.3883         0.9208     23.8562
         600   G25    1.5085   -1.3805   -0.8149         2.2013    938.1950
         600   G26    0.9515   -0.7034   -0.4581         1.2688    879.8620
         600   G27   -0.4477   -0.7023    0.9899         1.2936   1088.6702
         600   G28   -0.6096    1.2663    0.9102         1.6744   9781.7774
         600   G29    0.0216   -0.2654    0.2268         0.3498    807.9856
         600   G30   -1.3227   -0.1084    0.4437         1.3993    593.7325
         600   G31   -0.3785   -0.3853   -0.1026         0.5498     43.2046
         600   G32    1.2195    0.0785   -0.2046         1.2390   2303.8576
         630   G01   -1.2703   -1.2744   -0.3374         1.8308    604.5894
         630   G02    2.5276    0.5182   -0.0088         2.5801   1396.6790
         630   G03   -0.5592   -1.1869   -0.3618         1.3610    814.8819
         630   G05    0.4917   -0.0662    0.1068         0.5075     87.3293
         630   G06   -0.8871    0.9973   -0.7398         1.5261   6460.1403
         630   G08    0.6803   -1.2476    0.3972         1.4755    727.2257
         630   G09    0.0671   -1.2023   -1.5991         2.0017    678.4444
         630   G10    2.2802    1.8939    0.7938         3.0686   6948.7959
         630   G11   -0.9037   -1.2177    0.8351         1.7311   1906.7082
         630   G12    0.7655   -0.5678   -0.4740         1.0645   8152.7092
         630   G13   -0.1306    1.0419    1.2076         1.6003     76.4941
         630   G14    0.8840   -0.9052   -1.5194         1.9772    227.0724
         630   G15   -0.0192    0.2576   -0.3523         0.4368   6924.9219
         630   G16   -0.0582   -1.6277   -0.6387         1.7495    975.4581
         630   G17    0.1136   -0.0527   -0.4112         0.4298   7439.5329
         630   G18   -2.5610   -0.2203   -0.9049         2.7251   3817.2541
         630   G19   -0.8721   -1.0405    1.6837         2.1629   1455.1564
         630   G20    1.4919   -1.5200    1.0186         2.3608   7474.1981
         630   G21    1.6847   -0.2976   -0.0358         1.7112    760.1589
         630   G22   -0.0141   -0.0284   -0.2685         0.2703   5762.9843
         630   G23    0.9162   -0.3711   -0.3738         1.0568   3324.9261
         630   G24    0.5745    0.5798   -0.1030         0.8227     23.8638
         630   G25    1.5233   -1.1812   -1.2163         2.2792    938.1950
         630   G26    0.9362   -0.7377   -0.4407         1.2708    879.9325
         630   G27   -0.0883   -0.8405    0.8845         1.2234   1090.0100
         630   G28   -0.7494    0.7272    1.2021         1.5924   9781.7820
         630   G29   -0.1329   -0.1067    0.0508         0.1778    808.0844
         630   G30   -1.3365   -0.0874    0.0895         1.3424    593.7556
         630   G31   -0.5816   -0.7071   -0.2264         0.9432     43.2234
         630   G32    1.2686    0.0505   -0.0774         1.2720   2305.1973
         660   G01   -0.6708   -1.2205    0.1760         1.4037   1405.5676
         660   G02    2.5556    0.6301   -0.4781         2.6752   1396.7353
         660   G03   -0.5120   -1.1881   -0.0206         1.2939    449.3474
         660   G05   -0.2248   -0.2485   -0.1396         0.3630     78.2414
         660   G06   -1.1337    0.9856   -0.6820         1.6497   6460.8074
         660   G08    1.2038   -1.3780   -0.0748         1.8313    727.3251
         660   G09    0.3960   -1.5360   -1.4361         2.1397    678.6143
         660   G10    1.4307    0.0749    0.3296         1.4701    323.1358
         660   G11   -1.0107   -1.0269    0.8246         1.6601   1907.2663
         660   G12    0.7899   -0.5431   -0.6533         1.1601   8152.7800
         660   G13   -0.2764    1.1053    1.1466         1.6164     76.5366
         660   G14    0.9260   -1.3446   -0.9978         1.9133    791.3037
         660   G15   -0.0635    0.3544   -0.4893         0.6075   6925.0733
         660   G16   -0.0903   -1.4144   -1.0121         1.7415    449.1915
         660   G17   -0.1002   -0.3142    0.2294         0.4017   9593.2305
         660   G18   -2.7262   -0.2839   -0.2401         2.7514   3817.4292
         660   G19   -0.3307   -0.7460    0.2835         0.8639   3736.0831
         660   G20    1.5899   -1.1635    1.2193         2.3169   7939.8224
         660   G21    1.5869   -0.6570    0.3069         1.7447    760.2106
         660   G22    0.2058   -0.2061   -0.1170         0.3139   5763.0505
         660   G23    1.0477   -0.3435   -0.2234         1.1250   3324.9923
         660   G24    0.4031    0.6363    0.1718         0.7725     23.8713
         660   G25    1.4856   -1.0524   -1.5980         2.4224    938.1950
         660   G26    0.8636   -0.7132   -0.3607         1.1767    880.0029
         660   G27    0.2305   -0.8695    0.6222         1.0938   1091.3497
         660   G28   -0.9631    0.0597    1.4088         1.7076   9781.7866
         660   G29   -0.4013    0.2619   -0.1204         0.4941    808.1832
         660   G30   -1.3350   -0.0251   -0.2753         1.3633    593.7787
         660   G31   -0.8463   -1.0351   -0.4407         1.4078     69.6184
         660   G32    1.1616   -0.4586   -0.2193         1.2679   7051.5444
         690   G01   -0.4586   -0.9669    0.4441         1.1586   1406.5615
         690   G02    2.4975    0.8046   -1.1704         2.8731   5878.9370
         690   G03   -0.5488   -1.1212    0.0972         1.2520    449.4606
         690   G05   -0.3904   -0.1179   -0.0226         0.4084     78.2546
         690   G06   -1.0456    1.1317   -0.7954         1.7340   9346.5152
         690   G08    1.1423   -1.0224   -0.3406         1.5705     40.2527
         690   G09    0.6570   -1.7808   -1.0679         2.1779    130.3139
         690   G10    1.3454    0.1454    0.2425         1.3748    323.5469
         690   G11   -0.6118   -1.1389    0.9720         1.6174   2277.5117
         690   G12    0.7388   -0.2662   -0.6620         1.0271   9281.5679
         690   G13   -0.5660    1.2635    0.8705         1.6354    846.9415
         690   G14    1.0667   -1.4215   -0.6150         1.8806    791.3936
         690   G15    0.1774    0.1951   -0.4394         0.5125   7832.5063
         690   G16    0.0069   -1.3016   -1.1621         1.7449    449.2859
         690   G17    0.0488    0.0331   -0.0679         0.0900   9593.4053
         690   G18   -2.4663   -0.2755    0.3175         2.5019   2443.3554
         690   G19   -0.2969   -1.1522    0.5279         1.3017   3736.2533
         690   G20    1.5636   -0.8800    1.3707         2.2579   7939.8347
         690   G21    1.3969    0.2176   -0.6771         1.5676    384.8783
         690   G22    0.0050   -0.1823   -0.4615         0.4962   1595.3358
         690   G23    1.1481   -0.2063   -0.1757         1.1797   6560.9875
         690   G24    0.3485    0.7061    0.3996         0.8830     49.1390
         690   G25    1.4766   -0.6838   -1.8934         2.4966    938.1950
         690   G26    1.0762   -0.4339   -0.4974         1.2625    484.4363
         690   G27    0.3153   -0.8694    0.4721         1.0383   5837.6849
         690   G28   -0.8690    0.2759    1.3827         1.6562   7674.5793
         690   G29   -0.3762    0.0218    0.0517         0.3803     27.3712
         690   G30   -1.2731   -0.2192   -0.7938         1.5162     60.9994
         690   G31   -0.6366   -0.9713   -0.3238         1.2056     69.6372
         690   G32    1.1946   -0.2604    0.0664         1.2244   7052.8841
         720   G01   -1.1040   -0.8631    0.6112         1.5289    476.2241
         720   G02    2.6652    0.9610   -1.7917         3.3522   5878.9933
         720   G03   -0.3793   -0.9691    0.3549         1.0996    449.5739
         720   G05   -0.0953    0.3929    0.5485         0.6814     46.9451
         720   G06   -1.1777    1.1345   -0.7742         1.8093   9347.1823
         720   G08    1.4017   -0.9323   -0.7154         1.8291     40.3521
         720   G09    0.8380   -2.0043   -0.6511         2.2679    130.4838
         720   G10    1.1712    0.2731    0.0438         1.2034    323.9580
         720   G11   -0.4321   -1.1586    1.0762         1.6393   2278.0698
         720   G12    0.7176   -0.1730   -0.7730         1.0688   9281.6387
         720   G13   -0.7398    1.3328    0.5158         1.6093    846.9840
         720   G14    1.2286   -1.4407   -0.1703         1.9010    394.4987
         720   G15    0.3623    0.1417   -0.4097         0.5650   7832.6577
         720   G16    0.2025   -1.0554   -1.2411         1.6417    449.3804
         720   G17    0.0679    0.4959   -0.2178         0.5459   6799.6108
         720   G18   -2.2404   -0.3488    0.9872         2.4730   2443.5305
         720   G19   -0.3123   -1.3411    0.5838         1.4956   3736.4234
         720   G20    1.6008   -0.4680    1.3939         2.1736   7939.8470
         720   G21    1.1475    0.7757   -1.0315         1.7270    384.9300
         720   G22    0.0113   -0.3158   -0.4045         0.5133   1595.4020
         720   G23    1.0782   -0.0175   -0.1027         1.0832   6561.0536
         720   G24    0.2714    0.6597    0.4562         0.8468     49.1465
         720   G25    1.5721   -0.2980   -2.1424         2.6739    938.1950
         720   G26    1.1728   -0.2424   -0.3983         1.2621    484.5067
         720   G27    0.4194   -0.8885    0.3402         1.0397   5839.0246
         720   G28   -1.0331    0.0812    1.3657         1.7144   7674.5839
         720   G29   -0.3403   -0.0061    0.0095         0.3405     27.4700
         720   G30   -1.0265   -0.4052   -1.1296         1.5792     61.0225
         720   G31   -0.4971   -0.9943   -0.3252         1.1582     69.6559
         720   G32    1.1165    0.1849    0.5017         1.2379   7054.2119
         750   G01   -1.0324   -0.7843    0.8425         1.5462    477.2180
         750   G02    2.1557    0.9409   -1.9979         3.0861   5879.0496
         750   G03   -0.0556   -0.8621    0.6967         1.1098    449.6871
         750   G05   -0.2715    0.4816    0.6640         0.8640     46.9584
         750   G06   -1.3498    1.0439   -0.7435         1.8613   9347.8494
         750   G08    1.5258   -0.7320   -0.9142         1.9235     40.4515
         750   G09    0.9366   -2.0675   -0.1833         2.2772    130.6537
         750   G10    1.0390    0.4259   -0.1987         1.1403    324.3691
         750   G11   -0.2825   -1.2735    1.1324         1.7274   2278.6280
         750   G12    0.6117   -0.0951   -0.6617         0.9062   9281.7095
         750   G13   -0.8067    1.3720    0.2796         1.6160    847.0265
         750   G14    1.1666   -1.5142    0.2910         1.9336    394.5886
         750   G15    0.3221    0.0840   -0.4224         0.5378   7832.8091
         750   G16    0.4887   -0.6872   -1.3037         1.5527    449.4749
         750   G17    0.0957    0.4477    0.0297         0.4587   6799.6292
         750   G18   -2.0443   -0.4990    1.5530         2.6153   2443.7056
         750   G19   -0.2639   -1.1570    0.3546         1.2385   3736.5936
         750   G20    1.7068   -0.0320    1.2994         2.1453   7939.8593
         750   G21    1.1593    0.6930   -0.8025         1.5711    384.9817
         750   G22    0.0648   -0.5061   -0.3217         0.6032   1595.4682
         750   G23    1.2755   -0.0359    0.1024         1.2801   6561.1198
         750   G24   -0.0993    0.6963    0.4627         0.8419     49.1541
         750   G25    1.7464    0.1075   -2.0851         2.7220    938.1950
         750   G26    1.2051   -0.1909   -0.2729         1.2502    484.5772
         750   G27    0.5449   -0.8236    0.1626         1.0008   5840.3644
         750   G28   -1.1031   -0.1202    1.2362         1.6611   7674.5885
         750   G29   -0.4133    0.1025    0.0643         0.4306     27.5688
         750   G30   -0.7256   -0.5526   -1.2957         1.5845     61.0456
         750   G31   -0.4957   -1.1482   -0.4881         1.3425     69.6747
         750   G32    1.0642    0.1316    0.6129         1.2351   7055.5516
         780   G01    0.5049   -0.4977    0.7805         1.0544    812.5349
         780   G02    1.2977    0.9491   -1.8303         2.4361   5879.1060
         780   G03    0.2536   -0.8275    0.9277         1.2688    449.8004
         780   G05   -0.3568    0.3193    0.5408         0.7223     37.8704
         780   G06   -1.4794    0.8404   -0.5795         1.7974   9348.5166
         780   G08    1.5464   -0.3313   -0.9602         1.8502     40.5509
         780   G09    1.0067   -1.9892    0.2980         2.2492    130.8236
         780   G10    0.9078    0.4535   -0.2615         1.0480   4631.2605
         780   G11   -0.0949   -1.3165    1.0267         1.6722   2279.1861
         780   G12    0.5188    0.0802   -0.4495         0.6912   9281.7802
         780   G13   -0.8374    1.4741    0.0836         1.6974    847.0689
         780   G14    1.1418   -1.4265    0.5107         1.8972    958.8199
         780   G15    0.1967   -0.0257   -0.5052         0.5427   7832.9604
         780   G16    0.5002   -0.8104   -1.3181         1.6261    923.2066
         780   G17    0.2543    0.1048    0.2115         0.3470   9418.9882
         780   G18   -1.7278   -0.6035    1.8838         2.6264   2443.8806
         780   G19   -0.1361   -1.4873    0.1928         1.5059   6483.1785
         780   G20    1.7877    0.3345    1.1506         2.1521   7939.8716
         780   G21    1.5266    0.3855   -0.5499         1.6678    385.0334
         780   G22    0.0003   -0.5786   -0.3826         0.6936   1595.5343
         780   G23    1.5637   -0.1475    0.4855         1.6439   6561.1860
         780   G24   -0.6125    0.8502    0.4253         1.1309     49.1616
         780   G25    1.9118    0.5603   -1.7384         2.6441    938.1950
         780   G26    1.1443   -0.3154   -0.2828         1.2202    484.6476
         780   G27    0.7058   -0.7156   -0.0675         1.0074   5841.7041
         780   G28   -1.1892   -0.2540    1.0266         1.5914   7674.5932
         780   G29   -0.5743    0.1927    0.3361         0.6927     27.6676
         780   G30   -0.4098   -0.6341   -1.3454         1.5428     61.0687
         780   G31   -0.4710   -1.2991   -0.6962         1.5473     69.6935
         780   G32    1.2328   -0.2777    0.4248         1.3332   1801.8985
         810   G01    0.4109   -0.3687    0.8999         1.0557    813.5288
         810   G02    1.2590    1.5678   -2.6034         3.2895   9895.6464
         810   G03    0.5551   -0.7300    0.8996         1.2847     84.2668
         810   G05   -0.7842   -0.1432    0.8151         1.1402     37.8836
         810   G06   -1.5608    0.7414   -0.2956         1.7531   1768.5632
         810   G08    1.7592    0.0449   -1.1396         2.0965    353.4784
         810   G09    1.1151   -1.9080    0.7854         2.3453    582.5232
         810   G10    0.7030    0.6666   -0.5483         1.1131   4631.6716
         810   G11    0.0259   -1.3700    0.9781         1.6835   2183.7702
         810   G12    0.6039    0.1630   -0.4117         0.7488    876.2294
         810   G13   -0.9398    1.3106   -0.4341         1.6701    617.4739
         810   G14    1.0865   -1.0132    0.8748         1.7241    958.9098
         810   G15    0.2967    0.0017   -0.3943         0.4934   8274.7322
         810   G16    1.1435   -0.1537   -1.0373         1.5515    923.3011
         810   G17    0.2355    0.3623    0.3138         0.5340   9419.1630
         810   G18   -1.3207   -0.9241    2.3223         2.8268   1069.8069
         810   G19   -0.0540   -1.0674   -0.0427         1.0696   6483.3487
         810   G20    1.8822    0.6584    0.9758         2.2200   8405.4960
         810   G21    1.0819    0.9944   -0.7766         1.6621    475.3624
         810   G22   -0.0929   -0.6583   -0.2395         0.7067   7893.4810
         810   G23    1.3912    0.0605    0.4049         1.4502    262.8424
         810   G24   -0.5648    0.8848    0.4856         1.1566     40.0906
         810   G25    2.3534    0.9131   -1.5040         2.9384    403.8563
         810   G26    1.0871   -0.1848   -0.1556         1.1136     89.0810
         810   G27    0.6653   -0.7920   -0.0687         1.0366    588.0393
         810   G28   -1.3405   -0.4550    0.5615         1.5229   5567.3858
         810   G29   -0.3987    0.0991    0.1708         0.4449    246.8556
         810   G30    0.0046   -0.7527   -1.2935         1.4965     62.6281
         810   G31   -0.3414   -1.0830   -0.4653         1.2271     30.4274
         810   G32    1.1239   -0.0164    0.4946         1.2280   1803.2382
         840   G01    0.4519   -0.2334    0.8830         1.0190    814.5227
         840   G02    0.9703    2.2803   -2.9942         3.8868   9895.7028
         840   G03    0.9075   -0.6799    0.8701         1.4292     84.3801
         840   G05   -0.9814   -0.2923    0.9051         1.3667     37.8968
         840   G06   -1.5624    0.7734   -0.1233         1.7477   1769.2303
         840   G08    1.9197    0.4102   -1.0249         2.2145    353.5778
         840   G09    1.2699   -1.6905    1.2238         2.4430    582.6931
         840   G10    0.5528    0.8178   -0.6868         1.2026   4632.0828
